"Cantalupo-Nizza Monferrato";1864;30158,227735
"Nizza Monferrato-Canelli";1865;12644,597045
"Canelli-Alba";1865;39901,253162
"Ancona(st.c.)-Castellammare Adriatico";1863;199574,935548
"Falconara Mar.-Albacina-Fabriano-Foligno";1866;163876,532188
"Firenze (S.M.N.)-Pontassieve";1862;28058,437957
"Pontassieve-Montevarchi";1863;44943,904814
"Montevarchi-Terontola";1866;94705,634403
"Terontola-Ellera Corciano";1866;44234,164046
"Cava Carbonara-Torreberetti";1862;49693,638758
"Ferrara-Bologna (st.c)";1862;64124,682422
"Serravezza Quercieta-Pietrasanta";1862;4683,30374
"Massa e Carrara-Serravezza Quercieta";1862;9550,910504
"Sarzana-Massa e Carrara";1863;24540,030994
"Spezia(st.c.)-Vezzano Sarzana";1864;20532,876881
"Pontelagoscuro-Ferrara";1862;5604,404197
"Rovigo-Pontelagoscuro";1866;39818,006147
"Padova (st.c)-Rovigo";1866;62024,927187
"Pavia-Bivio Gravellone";1862;3289,386554
"Bivio Gravellone-Cava Carbonara";1862;7292,745817
"Rogoredo-Pavia";1862;40847,49184
"Bivio Reno-Vergato";1862;48253,221029
"Vergato-Pracchia";1863;48791,19731
"Pracchia-Pistoia";1864;35341,094886
"Vietri sul Mare-Salerno";1866;6034,346964
"Pastena (Salerno)-Battipaglia";1863;24514,907629
"Battipaglia-Eboli";1863;8503,402054
"Ficulle-Orvieto";1865;31580,859023
"Chiusi Bagni di Chianciano-Ficulle";1862;23234,753168
"Salarco-Chiusi Bagni di Chianciano";1862;27388,636765
"Ciampino-Velletri";1862;37021,125149
"Velletri-Segni Paliano";1862;30636,29762
"Segni Paliano-Ceprano Falvaterra";1862;77107,342631
"Ceprano Falvaterra-Cassino";1863;37068,602476
"Cassino-Tora Presenzano";1863;32761,754929
"Treviglio-Soresina";1863;54659,851521
"Soresina-Casalbuttano";1863;12216,497591
"Bagheria-Palermo";1863;17828,193292
"Casalbuttano-Olmoneta-Cremona";1863;24807,443116
"Castelbolognese-Ravenna";1863;56587,422196
"Pescara-Ortona";1863;28323,589585
"Livorno (st.c.)-Bivio Calambrone-Colle Salvetti";1863;21970,542429
"Colle Salvetti-Vada";1863;41382,530414
"Vada-Cecina";1863;8167,03242
"Cecina-Follonica";1863;71419,754848
"Cecina-Saline di Volterra";1863;40541,241738
"Lecco-Calolzio Olginate-Bergamo";1863;46428,455118
"Gozzano-Vignale";1864;46057,267504
"Ortona-Foggia";1864;207245,262731
"Follonica-Grosseto";1864;57929,352716
"Grosseto-Orbetello";1864;50797,61309
"Orbetello-Nunziatella";1864;12251,215302
"Trabia-Bagheria";1864;22092,148475
"Foggia-Trani";1864;105380,109574
"Trani-Bari (st)";1865;56675,513471
"Bari (st)-Brindisi (st)";1865;146397,786735
"Brindisi (st.)-Lecce";1866;50604,015751
"Orte-Roma(Termini)";1865;111173,199717
"Terni-Orte";1866;39375,727017
"Foligno-Terni";1866;72610,175687
"Asciano-Torrenieri Montalcino";1865;28372,308005
"Alba-Bra";1865;24284,491517
"Bari (st.)-Gioia del Colle";1865;68307,072898
"Settimo Torinese-Volpiano";1865;9790,863419
"Volpiano-Rivarolo";1866;21371,836678
"Sesto Calende-Gallarate";1865;24789,106464
"Varese-Gallarate";1865;26630,611918
"Termini Imerese-Trabia";1866;6548,963713
